"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 11:35:19 GMT 2023","Thu May 11 11:35:19 GMT 2023","459","chromium","","Counter","","","should display the current number of todo items",""
"passed","Thu May 11 11:36:04 GMT 2023","Thu May 11 11:36:05 GMT 2023","1035","firefox","","Routing","","","should allow me to display active items",""
"passed","Thu May 11 11:36:55 GMT 2023","Thu May 11 11:36:56 GMT 2023","1163","webkit","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 11:35:55 GMT 2023","Thu May 11 11:35:55 GMT 2023","773","firefox","","Editing","","","should hide other controls when editing",""
"passed","Thu May 11 11:35:58 GMT 2023","Thu May 11 11:35:58 GMT 2023","876","firefox","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 11:36:52 GMT 2023","Thu May 11 11:36:54 GMT 2023","1187","webkit","","Editing","","","should save edits on blur",""
"passed","Thu May 11 11:35:53 GMT 2023","Thu May 11 11:35:54 GMT 2023","858","firefox","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 11:36:05 GMT 2023","Thu May 11 11:36:06 GMT 2023","1066","firefox","","Routing","","","should respect the back button",""
"passed","Thu May 11 11:35:24 GMT 2023","Thu May 11 11:35:25 GMT 2023","648","chromium","","","","","has title",""
"passed","Thu May 11 11:35:23 GMT 2023","Thu May 11 11:35:24 GMT 2023","697","chromium","","Routing","","","should allow me to display all items",""
"passed","Thu May 11 11:36:06 GMT 2023","Thu May 11 11:36:07 GMT 2023","872","firefox","","Routing","","","should allow me to display completed items",""
"passed","Thu May 11 11:35:13 GMT 2023","Thu May 11 11:35:13 GMT 2023","770","chromium","","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 11 11:35:13 GMT 2023","Thu May 11 11:35:14 GMT 2023","666","chromium","","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu May 11 11:35:54 GMT 2023","Thu May 11 11:35:55 GMT 2023","915","firefox","","Item","","","should allow me to edit an item",""
"passed","Thu May 11 11:35:49 GMT 2023","Thu May 11 11:35:49 GMT 2023","791","firefox","","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu May 11 11:36:00 GMT 2023","Thu May 11 11:36:01 GMT 2023","728","firefox","","Clear completed button","","","should display the correct text",""
"passed","Thu May 11 11:35:18 GMT 2023","Thu May 11 11:35:19 GMT 2023","565","chromium","","Editing","","","should cancel edits on escape",""
"passed","Thu May 11 11:36:02 GMT 2023","Thu May 11 11:36:02 GMT 2023","920","firefox","","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu May 11 11:35:12 GMT 2023","Thu May 11 11:35:12 GMT 2023","497","chromium","","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu May 11 11:35:12 GMT 2023","Thu May 11 11:35:13 GMT 2023","587","chromium","","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu May 11 11:35:46 GMT 2023","Thu May 11 11:35:48 GMT 2023","2527","firefox","","New Todo","","","should allow me to add todo items",""
"failed","Thu May 11 11:35:39 GMT 2023","Thu May 11 11:35:45 GMT 2023","5972","chromium","","","","","get started link",""
"passed","Thu May 11 11:35:52 GMT 2023","Thu May 11 11:35:53 GMT 2023","804","firefox","","Item","","","should allow me to mark items as complete",""
"passed","Thu May 11 11:35:20 GMT 2023","Thu May 11 11:35:20 GMT 2023","594","chromium","","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu May 11 11:36:02 GMT 2023","Thu May 11 11:36:04 GMT 2023","1527","firefox","","Persistence","","","should persist its data",""
"passed","Thu May 11 11:35:11 GMT 2023","Thu May 11 11:35:12 GMT 2023","378","chromium","","New Todo","","","should clear text input field when an item is added",""
"passed","Thu May 11 11:35:22 GMT 2023","Thu May 11 11:35:23 GMT 2023","673","chromium","","Routing","","","should respect the back button",""
"passed","Thu May 11 11:37:04 GMT 2023","Thu May 11 11:37:06 GMT 2023","1509","webkit","","Routing","","","should respect the back button",""
"passed","Thu May 11 11:36:57 GMT 2023","Thu May 11 11:36:58 GMT 2023","973","webkit","","Counter","","","should display the current number of todo items",""
"passed","Thu May 11 11:35:59 GMT 2023","Thu May 11 11:36:00 GMT 2023","695","firefox","","Counter","","","should display the current number of todo items",""
"passed","Thu May 11 11:35:23 GMT 2023","Thu May 11 11:35:23 GMT 2023","570","chromium","","Routing","","","should allow me to display completed items",""
"passed","Thu May 11 11:36:49 GMT 2023","Thu May 11 11:36:50 GMT 2023","1187","webkit","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 11:36:07 GMT 2023","Thu May 11 11:36:08 GMT 2023","1080","firefox","","Routing","","","should allow me to display all items",""
"passed","Thu May 11 11:35:17 GMT 2023","Thu May 11 11:35:17 GMT 2023","567","chromium","","Editing","","","should trim entered text",""
"passed","Thu May 11 11:36:54 GMT 2023","Thu May 11 11:36:55 GMT 2023","1228","webkit","","Editing","","","should trim entered text",""
"passed","Thu May 11 11:35:14 GMT 2023","Thu May 11 11:35:15 GMT 2023","531","chromium","","Item","","","should allow me to mark items as complete",""
"passed","Thu May 11 11:35:17 GMT 2023","Thu May 11 11:35:18 GMT 2023","570","chromium","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 11:36:08 GMT 2023","Thu May 11 11:36:09 GMT 2023","1139","firefox","","Routing","","","should highlight the currently applied filter",""
"passed","Thu May 11 11:37:06 GMT 2023","Thu May 11 11:37:07 GMT 2023","1282","webkit","","Routing","","","should allow me to display completed items",""
"passed","Thu May 11 11:36:56 GMT 2023","Thu May 11 11:36:57 GMT 2023","1071","webkit","","Editing","","","should cancel edits on escape",""
"passed","Thu May 11 11:37:10 GMT 2023","Thu May 11 11:37:11 GMT 2023","1306","webkit","","","","","has title",""
"passed","Thu May 11 11:36:01 GMT 2023","Thu May 11 11:36:02 GMT 2023","883","firefox","","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu May 11 11:37:03 GMT 2023","Thu May 11 11:37:04 GMT 2023","1335","webkit","","Routing","","","should allow me to display active items",""
"passed","Thu May 11 11:35:15 GMT 2023","Thu May 11 11:35:15 GMT 2023","545","chromium","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 11:37:02 GMT 2023","Thu May 11 11:37:03 GMT 2023","1139","webkit","","Persistence","","","should persist its data",""
"passed","Thu May 11 11:35:58 GMT 2023","Thu May 11 11:35:59 GMT 2023","863","firefox","","Editing","","","should cancel edits on escape",""
